"Color","Color"
"Sign in / Sign out","Sign in / Sign out"
"My account","My account"
"My Orders","My Orders"
"My nuPoints","My nuPoints"
"My Wishlist","My Wishlist"
"My wishlist","My wishlist"
"My account details ","My account details "
"SIGN IN","SIGN IN"
"Sign in","Sign in"
"Sign In","Sign In"
"Sign in with %1","Sign in with %1"
"Email Address","Email Address"
"Create my Account","Create my Account"
"Show password","Show password"
"Forgot Password?","Forgot Password?"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Please type the letters below","Please type the letters below"
"Reload Captcha","Reload Captcha"
"RESET MY PASSWORD","RESET MY PASSWORD"
"Go back","Go back"
"Hi","Hi"
"Keep me signed in","Keep me signed in"
"Don`t have an account ?","Don`t have an account ?"
"Create an Account","Create an Account"
"Personal Information","Personal Information"
"Email","Email"
"Email*","Email*"
"Password","Password"
"Password*","Password*"
"Confirm Password","Confirm Password"
"Confirm Password*","Confirm Password*"
"First name","First name"
"First name*","First name*"
"Last name","Last name"
"Last name*","Last name*"
"Mobile No.","Mobile No."
"Mobile No*","Mobile No*"
"Mobile","Mobile"
"Line ID","Line ID"
"Line id:","Line id:"
"Birthday","Birthday"
"Date of Birth","Date of Birth"
"Country","Country"
"Gender","Gender"
"I would like to receive specials offers","I would like to receive specials offers"
"I agree to the Terms of Service","I agree to the Terms of Service"
"Already registered?","Already registered?"
"My orders","My orders"
"Order No.","Order No."
"Total","Total"
"Status","Status"
"Rewards information","Rewards information"
"Your balance is ","Your balance is "
"My Account details","My Account details"
"EDIT PROFILE","EDIT PROFILE"
"Edit Profile","Edit Profile"
"Account Information","Account Information"
"Change Email","Change Email"
"Change Password","Change Password"
"Street address","Street address"
"Street address 2","Street address 2"
"City","City"
"Zip / Postal Code","Zip / Postal Code"
"Popular","Popular"
"Limited","Limited"
"New","New"
"ADD TO BAG","ADD TO BAG"
"Add to bag","Add to bag"
"ADD TO WISHLIST","ADD TO WISHLIST"
"Add to Wishlist","Add to Wishlist"
"Choose an Option...","Choose an Option..."
"Have you worn these shoes before?","Have you worn these shoes before?"
"Yes","Yes"
"No","No"
"Open live chat","Open live chat"
"My Shopping Bag","My Shopping Bag"
"My shopping bag","My shopping bag"
"Update my shopping bag","Update my shopping bag"
"UPDATE MY SHOPPING BAG","UPDATE MY SHOPPING BAG"
"SUBTOTAL","SUBTOTAL"
"Subtotal","Subtotal"
"Order Total","Order Total"
"Promocode","Promocode"
"Promo code","Promo code"
"Enter promo code","Enter promo code"
"Apply","Apply"
"Proceed to Checkout","Proceed to Checkout"
"Checkout as a new customer","Checkout as a new customer"
"Join us now has many benefits:","Join us now has many benefits:"
"Earn welcome extra nuPoints","Earn welcome extra nuPoints"
"Rewards nuPoints","Rewards nuPoints"
"Special Promotions","Special Promotions"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Checkout using your account","Checkout using your account"
"SHIPPING","SHIPPING"
"Shipping","Shipping"
"SHIP HERE","SHIP HERE"
"New Address","New Address"
"SHIPPING METHODS","SHIPPING METHODS"
"Shipping Methods","Shipping Methods"
"Promotion Thailand only","Promotion Thailand only"
"Shipping fee","Shipping fee"
"ORDER SUMMARY","ORDER SUMMARY"
"Order Summary","Order Summary"
"Item in Shopping bag","Item in Shopping bag"
"REVIEW & PAYMENTS","REVIEW & PAYMENTS"
"Review & Payments","Review & Payments"
"PAYMENT METHOD","PAYMENT METHOD"
"Credit / Debit Card (2C2P)","Credit / Debit Card (2C2P)"
"SHOPPING BAG SUBTOTAL","SHOPPING BAG SUBTOTAL"
"SHIP TO","SHIP TO"
"Please fill out the form below and we will get back to you as soon as possible.","Please fill out the form below and we will get back to you as soon as possible."
"Available positions","Available positions"
"APPLY NOW","APPLY NOW"
"To:","To:"
"Personal Information*","Personal Information*"
"Attach File:","Attach File:"
"Choose file","Choose file"
"Choose photo","Choose photo"
"MESSAGE:","MESSAGE:"
"Tell us about yourself","Tell us about yourself"
"Add note","Add note"
"Select picture","Select picture"
"Title","Title"
"Start writing your story","Start writing your story"
"Publish","Publish"
"Thank you very much for publishing your story for us. Story are usually be successful within the next 24 hours.","Thank you very much for publishing your story for us. Story are usually be successful within the next 24 hours."
"Okay","Okay"
"All","All"
"OUR STORIES","OUR STORIES"
"YOUR STORIES","YOUR STORIES"
"My account details (EDIT)","My account details (EDIT)"
"First Name","First Name"
"Last Name","Last Name"
"Street Address","Street Address"
"Street Address 2","Street Address 2"
"Zip/Postal Code","Zip/Postal Code"
"Edit Address","Edit Address"
"or","or"
"Date","Date"
"Log out","Log out"
"Search entire store here...","Search entire store here..."
"Don`t have an account ? ","Don`t have an account ? "
"Create account","Create account"
"You have not set a default shipping address.","You have not set a default shipping address."
"In stock","In stock"
"Not in stock Notify me","Not in stock Notify me"
"Sold out","Sold out"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Continue Shopping","Continue Shopping"
"Go to shopping bag","Go to shopping bag"
"Move to Wishlist","Move to Wishlist"
"Qty","Qty"
"Qty:","Qty:"
"Size","Size"
"POINTS AVAILABLE TO REDEEM:","POINTS AVAILABLE TO REDEEM:"
"View Details","View Details"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Place Order","Place Order"
"Next","Next"
"Ship To:","Ship To:"
"Shipping Method:","Shipping Method:"
"Only a few in stock – order now","Only a few in stock – order now"
"Home","Home"
"Reset My Password","Reset My Password"
"This order will shipped to:","This order will shipped to:"
"Shipping Address","Shipping Address"
"Thank you!","Thank you!"
"Add to Bag","Add to Bag"
"Line Id","Line Id"
"I agree to the Terms od Service","I agree to the Terms od Service"
"I agree to the ","I agree to the "
"Terms of Service","Terms of Service"
"Open Live Chat","Open Live Chat"
